Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F-LIB-01,Library browse,As a listener I want to see my subscribed podcasts so I can pick something to play,Subscribed podcasts render in list/grid per layout setting; empty library shows icon + localized message,"Empty library; async load spinner; layout change reloads",episode_tile_test.dart; golden showcase,PASS,0,-,Covered by golden + tile tests,2026-06-21
F-LIB-02,Subscribe/Unsubscribe,As a listener I want to follow/unfollow a podcast,Subscribe adds podcast to library; unsubscribe removes it and its episodes,"Duplicate subscribe; invalid RSS; offline",podcast bloc (manual),PARTIAL,0,-,No direct unit test for subscribe flow,2026-06-21
F-LIB-03,Mark all played / mark unread,As a listener I want to mark a whole podcast played,markAllPlayed sets every unplayed episode played + position 0 and persists,All-already-played is a no-op; only unplayed episodes saved,podcast_bloc_test.dart,PASS,0,-,Bloc handler covered (mark-all-played) this iteration,2026-06-21
F-DISC-01,Discovery charts,As a listener I want to browse trending podcasts,Charts load by genre/country; warm-load on startup; cache skips spinner on revisit,Loading->populated lifecycle; 30-min cache; genre change refetches,discovery_bloc_test.dart,PASS,0,-,Cache + lifecycle covered; UI rendering still manual,2026-06-21
F-SRCH-01,Podcast search,As a listener I want to search podcasts by term,Results paginate; loading/error/empty states render,Network error shows icon+message; empty query shows seeds,search bloc (manual),PARTIAL,0,-,UI states manual,2026-06-21
F-SRCH-02,Search provider select,As a listener I want to pick iTunes or PodcastIndex,Provider persisted; only shown when multiple configured,Single provider hides control,settings_test.dart,PASS,0,-,,2026-06-21
F-DL-01,Download episode,As a listener I want offline playback,Download shows 0-100% progress; file stored; cancel/pause supported,Network failure pauses; storage permission; delete-while-playing stops audio,episode_bloc_test.dart,PARTIAL,0,-,Progress UI manual,2026-06-21
F-DL-02,Downloads list,As a listener I want to see downloaded episodes,fetchDownloads emits Loading then populated list; delete removes + refreshes,Empty set -> empty populated list; delete currently-playing stops audio,episode_bloc_test.dart,PASS,0,-,Downloads load/empty/delete covered this iteration,2026-06-21
F-PLAY-01,Play/pause,As a listener I want to control playback,Play/pause toggles; state streamed; disabled while buffering,Buffering disables transport,default_audio_player_service_test.dart,PASS,0,-,,2026-06-21
F-PLAY-02,Rewind 10s / Forward 30s,As a listener I want to seek by fixed steps,Seeks ±; clamps to [0,duration],Clamp at bounds; buffering disables,default_audio_player_service_test.dart,PASS,0,-,,2026-06-21
F-PLAY-03,Playback speed,As a listener I want to change speed,0.5x-2.0x; persisted,Default 1.0,settings_test.dart,PASS,0,-,,2026-06-21
F-PLAY-04,Position slider/scrub,As a listener I want to scrub,Scrub to any position; shows elapsed/remaining,Unknown duration disables slider; drag lock,mini_player_now_playing_smoke_test.dart,PARTIAL,0,Low,position_slider.dart uses deprecated withOpacity (info only),2026-06-21
F-PLAY-05,Mini player,As a listener I want a compact persistent player,Shows artwork/title/play; tap opens full player; hides when stopped/error,Stopped/error hides; swipe to dismiss,mini_player_now_playing_smoke_test.dart,PASS,0,-,,2026-06-21
